value,label,pattern,vendors[],color
neptune,Neptune,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/neptune.jpg,zapcables,
wave-runner-2,Wave Runner,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/wave-runner-2.jpg,zapcables,
chocolate-2,Chocolate,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/chocolate-2.jpg,zapcables,
khaki,Khaki,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/khaki.jpg,zapcables,
tan,Tan,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/tan.jpg,zapcables,
light-tan,Light Tan,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/light-tan.jpg,zapcables,
desert-camo,Desert Camo,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/desert-camo.jpg,zapcables,
copperhead,Copperhead,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/copperhead.jpg,zapcables,
infiltrate,Infiltrate,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/infiltrate.jpg,zapcables,
tactical-camo,Tactical Camo,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/tactical-camo.jpg,zapcables,
woodland-camo,Woodland Camo,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/woodland-camo.jpg,zapcables,
digital-camo,Digital Camo,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/digital-camo.jpg,zapcables,
kelly-green,Kelly Green,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/kelly-green.jpg,zapcables,
kelly-reflective,Kelly Green with Reflective,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/kelly-reflective.jpg,zapcables,
green-2,Green,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/green-2.jpg,zapcables,
emerald-green,Emerald Green,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/emerald-green.jpg,zapcables,
teal,Teal,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/teal.jpg,zapcables,
mint,Mint,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/mint.jpg,zapcables,
olive-2,Olive,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/olive-2.jpg,zapcables,
olive-drab-2,Olive Drab,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/olive-drab-2.jpg,zapcables,
ranger-green,Ranger Green,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/ranger-green.jpg,zapcables,
seafoam,Seafoam,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/seafoam.jpg,zapcables,
island,Island,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/island.jpg,zapcables,
aquatica,Aquatica,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/aquatica.jpg,zapcables,
decay,Decay,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/decay.jpg,zapcables,
dayglow,Dayglow,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/dayglow.jpg,zapcables,
flux,Flux,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/flux.jpg,zapcables,
gecko,Gecko,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/gecko.jpg,zapcables,
moss-green-diamonds,Moss Green Diamonds,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/moss-green-diamonds.jpg,zapcables,
neon-green-diamonds,Neon Green Diamonds,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/neon-green-diamonds.jpg,zapcables,
winter-green,Wintergreen,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/winter-green.jpg,zapcables,
shockwave,Shockwave,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/shockwave.jpg,zapcables,
neon-green,Neon Green,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/neon-green.jpg,zapcables,
viper,Viper,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/viper.jpg,zapcables,
radioactive,Radioactive,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/radioactive.jpg,zapcables,
packers,Packers,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/packers.jpg,zapcables,
shamrock-forest,Shamrock Forest,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/shamrock-forest.jpg,zapcables,
scarlet-red,Scarlet Red,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/scarlet-red.jpg,zapcables,
red,Red,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/red.jpg,zapcables,
imperial-red-1,Imperial Red,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/imperial-red-1.jpg,zapcables,
burgundy-1,Burgundy,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/burgundy-1.jpg,zapcables,
afghan-veteran,Afghan Veteran,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/afghan-veteran.jpg,zapcables,
apocalypse,Apocalypse,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/apocalypse.jpg,zapcables,
black-widow,Black Widow,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/black-widow.jpg,zapcables,
candy-cane,Candy Cane,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/candy-cane.jpg,zapcables,
cannibal,Cannibal,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/cannibal.jpg,zapcables,
imperial-red-diamond,Imperial Red Diamonds,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/imperial-red-diamond.jpg,zapcables,
iraqi-veteran,Iraqi Veteran,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/iraqi-veteran.jpg,zapcables,
mercury,Mercury,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/mercury.jpg,zapcables,
virus,Virus,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/virus.jpg,zapcables,
rebel,Rebel,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/rebel.jpg,zapcables,
strawberry-fields,Strawberry Fields,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/strawberry-fields.jpg,zapcables,
veggie-soup,Veggie Soup,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/veggie-soup.jpg,zapcables,
redhawk,Redhawk,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/redhawk.jpg,zapcables,
republic,Republic,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/republic.jpg,zapcables,
cream-red-diamond,Cream with Red Diamonds,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/cream-red-diamond.jpg,zapcables,
orange,Orange,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/orange.jpg,zapcables,
burnt-orange,Burnt Orange,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/burnt-orange.jpg,zapcables,
goldenrod,Goldenrod,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/goldenrod.jpg,zapcables,
solar-orange,Solar Orange,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/solar-orange.jpg,zapcables,
mets,Mets,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/mets.jpg,zapcables,
cliffhanger,Cliffhanger,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/cliffhanger.jpg,zapcables,
creamsicle,Creamsicle,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/creamsicle.jpg,zapcables,
fireball,Fireball,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/fireball.jpg,zapcables,
general-lee,General Lee,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/general-lee.jpg,zapcables,
honeycomb,Honeycomb,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/honeycomb.jpg,zapcables,
open-season-2019,Open Season,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/open-season-2019.jpg,zapcables,
hyper,Hyper,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/hyper.jpg,zapcables,
neon-orange-camo,Neon Orange Camo,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/neon-orange-camo.jpg,zapcables,
neon-orange-diamonds,Neon Orange Diamonds,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/neon-orange-diamonds.jpg,zapcables,
neon-orange-ninja,Neon Orange Ninja,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/neon-orange-ninja.jpg,zapcables,
